"cell_id","cluster_factor","UPR_PERK","UPR_IRE1","UPR_ATF6","UPR_State"
"SRR1294492","0",0.604484315575782,0.288977108549367,0.894704235300808,"Multi-arm-high"
"SRR1294493","0",-0.249028290561168,-0.137458576299851,-0.38937532606454,"All-low"
"SRR1294494","0",-0.160070319964689,-0.106852226107976,-0.200661047767084,"All-low"
"SRR1294496","0",-0.168946145403566,0.415410527502841,0.337519614723843,"IRE1-high"
"SRR1294497","0",0.54162034688982,-0.0658304676087006,0.49128514420676,"PERK-high"
"SRR1294498","0",-0.0026489496068024,-0.153044494969967,0.596566730328799,"Intermediate/Mixed"
"SRR1294499","0",-0.131506368990215,-0.325630048171092,0.210555115091118,"Intermediate/Mixed"
"SRR1294500","0",-0.0932175174507234,0.379576166935346,0.862098229374842,"Multi-arm-high"
"SRR1294501","0",-0.11434903968939,0.0901496808408574,0.146380824772959,"Intermediate/Mixed"
"SRR1294502","0",0.373747089700255,-0.171101911851832,-0.332365563985636,"PERK-high"
"SRR1294503","0",0.721265090958076,0.300567537808273,0.720700309184428,"PERK-high"
"SRR1294504","0",-0.111250339568315,0.0743610700215542,0.251418979970722,"Intermediate/Mixed"
"SRR1294505","0",0.423923631191505,-0.0146940079043285,0.541657407796864,"PERK-high"
"SRR1294506","0",-0.106666462155519,-0.33666883046836,-0.516324474628766,"Intermediate/Mixed"
"SRR1294507","0",1.30416534238418,0.909128866510568,1.35210612317058,"Multi-arm-high"
"SRR1294508","0",0.0329563787687376,-0.0353562870588716,-0.112699193682543,"Intermediate/Mixed"
"SRR1294509","0",-0.044452046043796,0.176530372320462,0.630856662058829,"Intermediate/Mixed"
"SRR1294510","0",-0.0285527478373952,-0.135571329000881,-0.195319670988199,"Intermediate/Mixed"
"SRR1294511","0",0.311022004973958,-0.330194976019656,-0.299966703317689,"PERK-high"
"SRR1294512","0",-0.14754391342101,0.089037739637591,-0.212404787386404,"Intermediate/Mixed"
"SRR1294513","0",-0.0724534113569093,-0.40387110772136,0.237047024736004,"Intermediate/Mixed"
"SRR1294515","0",-0.00174822881303899,-0.17267748223335,-0.559544156386178,"Intermediate/Mixed"
"SRR1294516","0",-0.22282278613143,-0.0167501734490276,0.411821066323701,"Intermediate/Mixed"
"SRR1294517","0",0.191837747477824,-0.30774158160695,-0.317392119410383,"PERK-high"
"SRR1294519","0",0.804988515758624,0.123915428182641,1.3263769612282,"Multi-arm-high"
"SRR1294520","0",0.00418959561009757,-0.350114122134931,-0.526308992611787,"Intermediate/Mixed"
