"cell_id","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","RNA_snn_res.0.5","seurat_clusters","IRE1_Score1","PERK_Score1","ATF6_Score1","Proliferation_Score1","Mesenchymal_Score1","Stemness_Score1","Hypoxia_Score1","Glycolysis_Score1","OXPHOS_Score1","IRE1_score","PERK_score","ATF6_score","Glycolysis_score","OXPHOS_score","Fatty_Acid_score","UPR_Reostat_SD","UPR_Reostat_Range","UPR_Reostat_CV_Fixed","UPR_PERK","UPR_IRE1","UPR_ATF6","UPR_Reostat","UPR_State"
"SRR1294492","GlioblastomaUPR",892041.664298234,13108,2.37587854489392,"0","0",0.288977108549367,0.604484315575782,0.894704235300808,-0.12874921538224,-0.502404621668998,-0.0779863352761439,0.550316805569101,0.707529676036047,-0.0321595564507283,0.288977108549367,0.604484315575782,0.894704235300808,0.707529676036047,-0.0321595564507283,-0.502404621668998,0.302951522957432,0.605727126751441,0.95544760801763,0.604484315575782,0.288977108549367,0.894704235300808,0.302951522957432,"Multi-arm-high"
"SRR1294493","GlioblastomaUPR",616148.246611883,15405,0.627653520152101,"0","0",-0.137458576299851,-0.249028290561168,-0.38937532606454,-0.0984633563792632,-0.508623350618841,0.0687082504562125,-0.198348529658931,0.683636235804971,0.202580376862458,-0.137458576299851,-0.249028290561168,-0.38937532606454,0.683636235804971,0.202580376862458,-0.508623350618841,0.126232022038085,0.251916749764688,0.896823453315685,-0.249028290561168,-0.137458576299851,-0.38937532606454,0.126232022038085,"All-low"
"SRR1294494","GlioblastomaUPR",732408.798716076,16070,0.816966770654169,"0","0",-0.106852226107976,-0.160070319964689,-0.200661047767084,-0.189935482749645,0.207211623733755,-0.0989561013338179,-0.163737380221758,0.606277686046634,0.0700221216850079,-0.106852226107976,-0.160070319964689,-0.200661047767084,0.606277686046634,0.0700221216850079,0.207211623733755,0.0470458423921827,0.0938088216591086,0.858503126309338,-0.160070319964689,-0.106852226107976,-0.200661047767084,0.0470458423921827,"All-low"
"SRR1294495","GlioblastomaUPR",313180.8360016,10518,1.29923026418532,"1","1",-0.202237345171209,-0.0723568051684167,-0.250660209064476,-0.147649859962439,0.266267739257719,-0.0786845539270711,-0.158993634814931,0.216550484004191,-0.037807347556565,-0.202237345171209,-0.0723568051684167,-0.250660209064476,0.216550484004191,-0.037807347556565,0.266267739257719,0.0922007160673243,0.178303403896059,1.07742051712822,-0.0723568051684167,-0.202237345171209,-0.250660209064476,0.0922007160673243,"Intermediate/Mixed"
"SRR1294496","GlioblastomaUPR",1585586.41362215,14169,2.812951222697,"0","0",0.415410527502841,-0.168946145403566,0.337519614723843,-0.134066185418544,-0.00389871110322515,-0.0401899373516321,0.111186668554309,1.49086349718249,0.339822285028222,0.415410527502841,-0.168946145403566,0.337519614723843,1.49086349718249,0.339822285028222,-0.00389871110322515,0.317292525819426,0.584356672906408,0.849267064437457,-0.168946145403566,0.415410527502841,0.337519614723843,0.317292525819426,"IRE1-high"
"SRR1294497","GlioblastomaUPR",1727639.69710376,11275,0.97417989448561,"0","0",-0.0658304676087006,0.54162034688982,0.49128514420676,0.21565336020532,-0.444389171769981,-0.0488594882752527,-0.147036419853805,0.983926107192712,0.385480182201732,-0.0658304676087006,0.54162034688982,0.49128514420676,0.983926107192712,0.385480182201732,-0.444389171769981,0.337122116745197,0.607450814498521,0.84663885402867,0.54162034688982,-0.0658304676087006,0.49128514420676,0.337122116745197,"PERK-high"
"SRR1294498","GlioblastomaUPR",1686008.37392525,13844,2.43298754158702,"0","0",-0.153044494969967,-0.0026489496068024,0.596566730328799,-0.150745962628479,-0.441746329589892,-0.0550989492703637,0.0861798555438333,0.63465070596753,0.456553939047321,-0.153044494969967,-0.0026489496068024,0.596566730328799,0.63465070596753,0.456553939047321,-0.441746329589892,0.396567615134268,0.749611225298766,1.27924105816567,-0.0026489496068024,-0.153044494969967,0.596566730328799,0.396567615134268,"Intermediate/Mixed"
"SRR1294499","GlioblastomaUPR",868111.849987218,13817,1.38279858607437,"0","0",-0.325630048171092,-0.131506368990215,0.210555115091118,-0.167269256447427,-0.180599428266488,-0.0566742383223961,-0.116739792549747,0.0394377775837303,0.0270370077364779,-0.325630048171092,-0.131506368990215,0.210555115091118,0.0394377775837303,0.0270370077364779,-0.180599428266488,0.271472709191049,0.53618516326221,1.07116750734635,-0.131506368990215,-0.325630048171092,0.210555115091118,0.271472709191049,"Intermediate/Mixed"
"SRR1294500","GlioblastomaUPR",2250438.95762845,11952,1.32461755630776,"0","0",0.379576166935346,-0.0932175174507234,0.862098229374842,-0.137523186336265,0.141568961515678,-0.0398557207977327,0.148698989744114,0.956891985262944,0.515213322560903,0.379576166935346,-0.0932175174507234,0.862098229374842,0.956891985262944,0.515213322560903,0.141568961515678,0.477666129018499,0.955315746825565,0.982778354203999,-0.0932175174507234,0.379576166935346,0.862098229374842,0.477666129018499,"Multi-arm-high"
"SRR1294501","GlioblastomaUPR",841714.989302028,6925,1.10484836438011,"0","0",0.0901496808408574,-0.11434903968939,0.146380824772959,-0.0543386399055093,-0.42520285302652,-0.0295704781733819,-0.107387128910915,0.538492227187196,0.806863494395822,0.0901496808408574,-0.11434903968939,0.146380824772959,0.538492227187196,0.806863494395822,-0.42520285302652,0.137211351856042,0.260729864462349,0.831200112518304,-0.11434903968939,0.0901496808408574,0.146380824772959,0.137211351856042,"Intermediate/Mixed"
