"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00477649392638366,0.744695449923913,0.568,0.406,1,"4","RAPGEF1"
0.00481075171893391,1.94216935890416,0.25,0.142,1,"4","LINC02536"
0.00481728272363868,1.5191236708806,0.295,0.186,1,"4","CFAP58"
0.00482730229816926,0.8876434840306,0.295,0.188,1,"4","SIDT1-AS1"
0.00483654308756148,1.90435359727189,0.273,0.16,1,"4","FAM163A"
0.00488718370971903,2.26183859936677,0.33,0.211,1,"4","ETNK1-DT"
0.00488749466461757,0.967785029531504,0.455,0.315,1,"4","GIPC2"
0.00489585508028835,0.289530883710165,0.625,0.501,1,"4","SIRPA"
0.00492106940350784,0.692165948113167,0.273,0.157,1,"4","GOLGA2P9"
0.00493337100239318,0.578819730107526,0.398,0.262,1,"4","ZNF473CR"
0.00493751440571783,1.87890436306441,0.25,0.137,1,"4","POLRMT"
0.00494522850422881,1.25141499347198,0.545,0.42,1,"4","SEMA3B"
0.00496234664215672,1.18592969254925,0.307,0.183,1,"4","LINC02014"
0.00497348278319081,1.60615533490509,0.318,0.186,1,"4","BICRA-AS1"
0.0049810272300088,1.77209876144883,0.318,0.199,1,"4","PRSS22"
0.00498725507377698,0.902687073102592,0.352,0.222,1,"4","SPATA42"
0.00499438242766444,1.9335349825344,0.33,0.207,1,"4","OR10Q1"
0.00499447974514541,1.29999361701788,0.273,0.155,1,"4","MGMT"
0.00499568892627923,1.31799549118364,0.352,0.22,1,"4","LINC00628"
0.00501890980427058,1.42899154583301,0.261,0.149,1,"4","FGF12-AS1"
0.00502060411235179,0.61578297739615,0.295,0.167,1,"4","FOXP4-AS1"
0.00502557730688711,1.05523617944287,0.295,0.176,1,"4","OSBPL7"
0.00503129244845233,0.95749186384475,0.398,0.282,1,"4","RN7SL434P"
0.00503558461777934,1.26437494268641,0.307,0.193,1,"4","KRBA1"
0.00504100302734531,1.12794702612777,0.557,0.419,1,"4","TMCO4"
0.00506895033934567,0.288247422264189,0.977,0.934,1,"4","ABCB7"
0.00508252900075348,0.501128284754019,0.625,0.467,1,"4","SHANK1"
0.00508872629282886,1.20888406632225,0.443,0.321,1,"4","TBC1D22B"
0.00510622820828175,0.709848597267543,0.523,0.4,1,"4","HSF2"
0.00513421257540268,1.81053261347393,0.364,0.249,1,"4","ABLIM3"
0.00520594542872414,0.633507493070799,0.545,0.415,1,"4","MTMR11"
0.00522149103179256,2.18290144720515,0.341,0.212,1,"4","HSD3B2"
0.0052263039665048,0.94763968497189,0.739,0.61,1,"4","CDK11A"
0.00525404497608243,1.3300611268903,0.307,0.184,1,"4","PLCH1-AS1"
0.00527352606285071,1.13244629186707,0.648,0.512,1,"4","SERTAD4"
0.0052772334356765,0.375620388612293,0.966,0.837,1,"4","NUFIP2"
0.00529981598772654,0.546599682681649,0.693,0.55,1,"4","LINC02999"
0.00535517011496084,1.09392062543128,0.295,0.178,1,"4","TNFRSF8"
0.00536846801243359,0.853411033277272,0.284,0.162,1,"4","KERA"
0.00537238860265301,1.71836546698877,0.318,0.204,1,"4","SLC5A2"
0.00538671255637071,1.34365848358048,0.602,0.483,1,"4","ZNF700"
0.00540882079847285,0.906419844562685,0.273,0.16,1,"4","OR4D2"
0.00545070693199379,0.641144855111855,0.523,0.358,1,"4","KCNH2"
0.00546128803105114,0.259337226772001,0.568,0.401,1,"4","LEF1"
0.00547116603980591,1.87840775273631,0.341,0.229,1,"4","PABIR1"
0.00547355981798546,1.30491542232351,0.284,0.166,1,"4","SKAP1-AS2"
0.00550410239428757,0.624634291100927,0.432,0.3,1,"4","RHOBTB2"
0.00551251427974226,0.870387139992113,0.591,0.48,1,"4","LINC03107"
0.00551317655193308,1.06334010934333,0.273,0.156,1,"4","OR51E1"
0.00554617703372826,1.54900675630027,0.25,0.137,1,"4","DQX1"
0.00555993740779623,0.640582857632712,0.273,0.156,1,"4","ADCK2"
0.00557498753186793,1.85902290202596,0.284,0.172,1,"4","LINC01987"
0.00558134146985392,0.543970706537235,0.943,0.891,1,"4","GRIN2B"
0.0055849295828504,0.652311747141449,0.693,0.531,1,"4","NPRL2"
0.00558758833040226,0.668712964886106,0.761,0.641,1,"4","LINC01535"
0.00558769282666142,0.82789970287827,0.398,0.286,1,"4","SELE"
0.00560603125940318,0.820127818362109,0.42,0.287,1,"4","FPGS"
0.00562675180484098,0.49043506141209,0.261,0.149,1,"4","CYYR1"
0.00564109132139823,0.803574239163456,0.966,0.844,1,"4","EGR1"
0.00568484073197213,0.831271982257146,0.5,0.355,1,"4","PHACTR2-AS1"
0.00574451019431348,1.33231400404178,0.284,0.176,1,"4","LINC01661"
0.00574822005391369,1.42642990297477,0.511,0.384,1,"4","CDC25A"
0.00576897170938744,0.915041312071014,0.341,0.216,1,"4","HR"
0.00578691969175796,0.730398132112343,0.625,0.469,1,"4","C1QTNF7"
0.00580665068453668,1.37187707772656,0.33,0.217,1,"4","MIB2"
0.00582082280462815,0.583902849572725,0.625,0.476,1,"4","ZFP91"
0.00583000975686482,0.297600141179639,0.909,0.77,1,"4","FNDC3A"
0.00584240886759986,1.5235359509418,0.295,0.181,1,"4","PADI1"
0.00586012678007108,0.719921239929603,0.443,0.301,1,"4","LRRC20"
0.00586757810057301,1.0469685473432,0.364,0.243,1,"4","LIM2-AS1"
