"","IRE1_softmax","ATF6_softmax","PERK_softmax","IRE1_score","PERK_score","ATF6_score"
"102_1",0.596475126729123,0.130139868482337,0.27338500478854,-0.742713164930383,-1.52286963127179,-2.26514092342477
"102_2",0.337573193660249,0.0840096740330487,0.578417132306702,1.08095932862955,1.61947226230198,-0.309891069002358
"102_4",0.102758400841979,0.241663925063642,0.655577674094379,-1.16241804244647,0.690718139632477,-0.307250630941921
"102_5",0.45063404405245,0.324460624105317,0.224905331842233,0.273882839050029,-0.421093172509535,-0.0546085533066325
"102_7",0.567762931856875,0.154925881396004,0.277311186747121,0.137922298055446,-0.578641366564381,-1.16083484203908
"102_8",0.0513385798793093,0.821627681588155,0.127033738532536,-0.180322990852864,0.725687204097469,2.5925218455232
"102_10",0.076578719108729,0.895685899921086,0.0277353809701845,-0.683053851064172,-1.69866418129506,1.77621672260315
"102_12",0.0854797304061492,0.765756768941919,0.148763500651932,0.988089553236768,1.54216807766549,3.18067486197061
"102_13",0.48650190582221,0.470556771384382,0.0429413227934082,0.482318728611502,-1.94508749282336,0.448994523140787
"102_14",0.382383222870826,0.576122111799224,0.0414946653299506,1.10273698313117,-1.11812145113024,1.5126333140407
"102_16",0.387708469855505,0.584532389954259,0.0277591401902358,0.786865933102753,-1.84982259556684,1.19742443643148
"102_17",0.200748498611929,0.484563243515033,0.314688257873038,-0.898812017642718,-0.449282400301767,-0.0176169351643076
"102_18",0.229739111488874,0.69966606083884,0.0705948276722868,-0.561479546166032,-1.74146703402887,0.552179251859458
"102_20",0.381647470927905,0.249003781364036,0.36934874770806,-1.0513825910114,-1.08413860911493,-1.47841184000444
"102_21",0.233881746612614,0.710114460753023,0.0560037926343625,0.217420348032404,-1.2119758691779,1.32803088613686
"102_22",0.432536730462743,0.233305769986795,0.334157499550462,0.807545005066484,0.549490193744766,0.190227667144673
"102_23",0.502722294493138,0.298445386491136,0.198832319015726,-1.12480087096723,-2.05237693867037,-1.64625183391656
"102_24",0.29754486659619,0.121648003534542,0.580807129869268,-1.1381137742273,-0.469260060549077,-2.03254714238845
"102_26",0.125606120995935,0.242281391396049,0.632112487608016,-0.783445715091467,0.832470663048472,-0.126496876960173
"102_27",0.517943697756821,0.403759976582581,0.0782963256605982,0.125939693787503,-1.76342617550894,-0.123106266941832
"102_28",0.129008261566982,0.165048449775003,0.705943288658015,-1.4098238594949,0.289834601626138,-1.16346123916252
"102_29",0.0907884763741509,0.170307957058776,0.738903566567073,-1.30432734637524,0.792307708893745,-0.675251401398012
"102_31",0.410670983379584,0.208928761367399,0.380400255253018,-0.878054666233829,-0.954623031397049,-1.553853693921
"102_33",0.584263206364179,0.225972649275369,0.189764144360452,1.01490740875661,-0.109662212786148,0.064969802675388
"102_37",0.138717659237869,0.0184336474399673,0.842848693322164,-0.851959720392178,0.952387096640335,-2.87022269941801
"102_38",0.766526378306211,0.149357678671313,0.0841159430224763,0.473471928193948,-1.73620106227565,-1.16205322621716
"102_40",0.398669120346488,0.576245004977969,0.0250858746755433,0.134950369890918,-2.63087650485062,0.503351495474378
"102_41",0.491599227454885,0.32801862876493,0.180382143780185,0.0306331418440786,-0.97195304288856,-0.373960262568882
"102_42",0.139135850603727,0.840354998789315,0.0205091506069581,0.133463623905679,-1.78111601678812,1.93183724575634
"102_45",0.171106397260094,0.453335093856188,0.375558508883718,-0.339305180929329,0.446823524860135,0.635040823419397
"102_46",0.487909966179764,0.354690190010654,0.157399843809582,0.191951338284412,-0.939390211346494,-0.126934850762
"102_47",0.115142169167659,0.156759261567248,0.728098569265093,-1.55467592240933,0.28959289550136,-1.24613227814599
"102_48",0.695169369874755,0.0482874924031294,0.256543137722115,0.348372680215004,-0.648486004597546,-2.31861026265529
"102_49",0.155713116474531,0.532745609694913,0.311541273830556,0.182517532867672,0.876034045315877,1.41254624571647
"102_51",0.111941508853221,0.203696080159311,0.684362410987468,1.81893417064292,3.62944529607735,2.41758675798927
"102_53",0.120803870388537,0.628671447867587,0.250524681743876,-0.679497328844586,0.0498917921145918,0.969943126327816
"102_55",0.134391526554565,0.103472767133719,0.762135706311717,0.329600532129043,2.06496778459921,0.0681516110989624
