"pseudotime","IRE1_score","PERK_score","ATF6_score","Dataset"
1,0.288977108549367,0.604484315575782,0.894704235300808,"Patel (2014)"
2,-0.137458576299851,-0.249028290561168,-0.38937532606454,"Patel (2014)"
3,-0.106852226107976,-0.160070319964689,-0.200661047767084,"Patel (2014)"
4,-0.202237345171209,-0.0723568051684167,-0.250660209064476,"Patel (2014)"
5,0.415410527502841,-0.168946145403566,0.337519614723843,"Patel (2014)"
6,-0.0658304676087006,0.54162034688982,0.49128514420676,"Patel (2014)"
7,-0.153044494969967,-0.0026489496068024,0.596566730328799,"Patel (2014)"
8,-0.325630048171092,-0.131506368990215,0.210555115091118,"Patel (2014)"
9,0.379576166935346,-0.0932175174507234,0.862098229374842,"Patel (2014)"
10,0.0901496808408574,-0.11434903968939,0.146380824772959,"Patel (2014)"
11,-0.171101911851832,0.373747089700255,-0.332365563985636,"Patel (2014)"
12,0.300567537808273,0.721265090958076,0.720700309184428,"Patel (2014)"
13,0.0743610700215542,-0.111250339568315,0.251418979970722,"Patel (2014)"
14,-0.0146940079043285,0.423923631191505,0.541657407796864,"Patel (2014)"
15,-0.33666883046836,-0.106666462155519,-0.516324474628766,"Patel (2014)"
16,0.909128866510568,1.30416534238418,1.35210612317058,"Patel (2014)"
17,-0.0353562870588716,0.0329563787687376,-0.112699193682543,"Patel (2014)"
18,0.176530372320462,-0.044452046043796,0.630856662058829,"Patel (2014)"
19,-0.135571329000881,-0.0285527478373952,-0.195319670988199,"Patel (2014)"
20,-0.330194976019656,0.311022004973958,-0.299966703317689,"Patel (2014)"
21,0.089037739637591,-0.14754391342101,-0.212404787386404,"Patel (2014)"
22,-0.40387110772136,-0.0724534113569093,0.237047024736004,"Patel (2014)"
23,-0.0251304868968552,-0.147328383701022,-0.253327549948553,"Patel (2014)"
24,-0.17267748223335,-0.00174822881303899,-0.559544156386178,"Patel (2014)"
25,-0.0167501734490276,-0.22282278613143,0.411821066323701,"Patel (2014)"
26,-0.30774158160695,0.191837747477824,-0.317392119410383,"Patel (2014)"
27,0.130969117640388,0.3660175225805,0.157752216167416,"Patel (2014)"
28,0.123915428182641,0.804988515758624,1.3263769612282,"Patel (2014)"
29,-0.350114122134931,0.00418959561009757,-0.526308992611787,"Patel (2014)"
30,-0.288963951699318,0.248544651221267,0.168986481016168,"Patel (2014)"
31,0.103846962204483,-0.160165585346473,0.112096761232812,"Patel (2014)"
32,-0.133591457549888,-0.0369182763494533,0.140600427032491,"Patel (2014)"
33,-0.217099177253851,-0.135292142369747,-0.385511803917868,"Patel (2014)"
34,0.306518875615762,0.678909419840091,0.876328263718091,"Patel (2014)"
35,-0.0768290731297862,-0.0811593531964848,0.322429624909769,"Patel (2014)"
36,0.0415850814132985,-0.00406557897469062,0.0194777823286224,"Patel (2014)"
37,-0.122366800502231,-0.208576848072635,-0.302851322906241,"Patel (2014)"
38,0.0235562204523284,-0.1973285565367,0.372448028787608,"Patel (2014)"
39,-0.0952905932307017,-0.0524502727386732,0.086474944947734,"Patel (2014)"
40,-0.240473654539381,0.37330823632585,-0.376378752171834,"Patel (2014)"
41,-0.204168717266174,-0.0860757298007628,-0.25649706894322,"Patel (2014)"
42,-0.14642063334971,0.0214700936009876,0.00620702779369064,"Patel (2014)"
43,-0.0340355318755058,-0.179592835142531,-0.116464115489325,"Patel (2014)"
44,0.0509350995810852,-0.138684103092108,0.0481163651758381,"Patel (2014)"
45,0.12523294083261,-0.151840614181757,-0.239618153501321,"Patel (2014)"
46,0.328214396827077,0.315530954270919,0.0428254871525823,"Patel (2014)"
47,0.0628677441980722,-0.185595441971924,-0.404648251058439,"Patel (2014)"
48,-0.18469045890047,-0.0561639662725075,-0.301604899876662,"Patel (2014)"
49,-0.194219177314496,-0.189403089524632,-0.213330733393156,"Patel (2014)"
50,-0.0508789884604268,0.104282948709371,0.947467337111429,"Patel (2014)"
51,0.61145860110169,0.117066532723643,1.48724863885845,"Patel (2014)"
52,-0.137028241161111,-0.220412081841151,-0.299754464821369,"Patel (2014)"
53,-0.0930344578186995,-0.189615122915231,0.053669132559612,"Patel (2014)"
54,-0.260739354837661,0.0183754843202226,-0.184495095076559,"Patel (2014)"
55,-0.213856793867223,-0.106802772500047,-0.385912087168072,"Patel (2014)"
56,0.231998920392722,-0.0352395030777214,0.289273290327728,"Patel (2014)"
57,-0.161888018753012,-0.0558188183056337,-0.439951427312633,"Patel (2014)"
58,-0.110793089126242,0.0870452095487286,0.140096651254747,"Patel (2014)"
59,-0.0335607015594457,-0.00919288452206918,-0.0824876989499085,"Patel (2014)"
60,-0.0165520185708989,-0.255560989126098,0.177046194795771,"Patel (2014)"
61,0.685421888485497,-0.249628074190592,1.04022052841115,"Patel (2014)"
62,0.263195421918708,-0.0620482683315317,-0.0148816605921963,"Patel (2014)"
63,-0.103733075276479,-0.0708816085667134,-0.217085941789361,"Patel (2014)"
64,0.114612720927246,0.350235972037687,-0.0479390141877234,"Patel (2014)"
65,0.101265232159958,0.266362815908185,0.266794545836281,"Patel (2014)"
66,0.0189922392314799,-0.137946548677621,-0.381316311816027,"Patel (2014)"
67,-0.11311221257233,-0.0872874548589146,-0.283787220719894,"Patel (2014)"
68,0.250020325211834,0.0126008131763301,-0.0416685127694371,"Patel (2014)"
69,-0.312879877054559,-0.00022846026084683,-0.0580896070169636,"Patel (2014)"
70,-0.134994668680297,-0.0236914197116123,0.809610649745072,"Patel (2014)"
71,0.070099531559193,-0.0430868783736456,0.106249305735796,"Patel (2014)"
72,0.511948388381442,0.203444218449238,0.711724877071228,"Patel (2014)"
73,0.28210791930771,0.101030382564598,0.633412382846099,"Patel (2014)"
74,-0.250731204902707,-0.253756302165155,0.0113086234120876,"Patel (2014)"
75,0.224280415035363,0.0859028730912427,1.33326778757741,"Patel (2014)"
76,-0.293693316047786,-0.17196456616579,-0.384587126353737,"Patel (2014)"
77,0.0642999451625846,0.0779524922966208,-0.352898304598704,"Patel (2014)"
78,-0.17427903415856,0.11217342360488,-0.265130507498863,"Patel (2014)"
79,-0.209146574476169,0.384287657743385,-0.263532819320972,"Patel (2014)"
80,-0.0213190239353545,0.385555869077376,0.404416123247765,"Patel (2014)"
81,0.33118535033582,0.126048466865108,0.254003929663047,"Patel (2014)"
82,0.0773459263445255,-0.205482232730843,0.653092079010007,"Patel (2014)"
83,0.425188195682355,-0.0888058805645458,0.0392088646798944,"Patel (2014)"
84,1.38982360419299,-0.15629813804308,1.72464743904389,"Patel (2014)"
85,0.698489937148396,0.348485448267478,1.16893675557321,"Patel (2014)"
86,0.611469468336982,0.20723296391158,0.656916883510816,"Patel (2014)"
87,0.412837384714914,0.394058872260714,0.516321354222009,"Patel (2014)"
88,-0.267986535694944,0.115403960325458,-0.34959439798852,"Patel (2014)"
