"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.57888342561619,0.935,0.23,0,"0","LIMA1"
0,2.06589404757294,0.978,0.274,0,"0","TCEA2"
0,3.00956132829093,0.777,0.074,0,"0","ITGA7"
0,1.63353995568937,0.948,0.245,0,"0","NELFCD"
0,1.93600642447139,0.889,0.187,0,"0","FMNL2"
0,1.78528030569392,0.93,0.229,0,"0","VGLL4"
0,2.16395815164896,0.847,0.146,0,"0","HYAL2"
0,1.9122576336025,0.95,0.249,0,"0","COPRS"
0,1.89735131230308,0.905,0.206,0,"0","CRLS1"
0,2.01263797896802,0.951,0.252,0,"0","SEPT9"
0,1.90889998861623,0.965,0.266,0,"0","MAP1LC3A"
0,3.02387975371139,0.774,0.076,0,"0","FAM84A"
0,1.76009097965098,0.907,0.209,0,"0","SPECC1"
0,1.67790118334744,0.922,0.224,0,"0","BPTF"
0,3.12127687062689,0.777,0.08,0,"0","TMEM158"
0,1.84877838430443,0.952,0.255,0,"0","POLDIP2"
0,1.58886292921741,0.93,0.234,0,"0","BRD4"
0,2.09099913382647,0.893,0.197,0,"0","IGFBP7"
0,1.58485816239357,0.885,0.189,0,"0","MRPS18A"
0,1.78709170906242,0.893,0.197,0,"0","TSR3"
0,1.55026943767785,0.936,0.241,0,"0","FYN"
0,2.19520181806871,0.811,0.116,0,"0","TJP1"
0,1.93637148589983,0.875,0.18,0,"0","TAOK1"
0,1.84295698881686,0.878,0.184,0,"0","ACTN1"
0,2.81124970828779,0.993,0.3,0,"0","PHLDA1"
0,1.85684868240725,0.809,0.116,0,"0","NDN"
0,1.57374783081874,0.838,0.145,0,"0","FKBP10"
0,1.85067694643222,0.969,0.276,0,"0","TSEN34"
0,2.05424206037994,0.844,0.152,0,"0","TLK1"
0,1.88608205002648,0.871,0.18,0,"0","LSM12"
0,1.38634554183428,0.911,0.222,0,"0","ZNF593"
0,3.20515841152776,0.763,0.074,0,"0","CHST2"
0,2.12743426732113,0.975,0.286,0,"0","DST"
0,1.1716548734974,0.93,0.241,0,"0","LAPTM4B"
0,2.04729436628792,0.983,0.294,0,"0","ITGB1"
0,1.81266212734129,0.936,0.247,0,"0","NLRP1"
0,2.22855028002098,0.837,0.148,0,"0","NRP2"
0,1.69039723540894,0.901,0.213,0,"0","C5orf24"
0,1.20417720520279,0.937,0.249,0,"0","MANBAL"
0,0.676802606315883,0.854,0.166,0,"0","ETV1"
0,3.14455530249399,0.753,0.066,0,"0","COL4A2"
0,1.49129641158977,0.872,0.185,0,"0","SEZ6L2"
0,1.67190480092302,0.935,0.248,0,"0","LINC00657"
0,1.81432339745912,0.935,0.25,0,"0","SLC39A3"
0,1.70755532976641,0.837,0.152,0,"0","WLS"
0,1.834173482125,0.939,0.254,0,"0","CCDC109B"
0,2.87198617912537,0.77,0.086,0,"0","SOCS2"
0,2.87657719187095,0.774,0.09,0,"0","SACS"
0,1.39787557925004,0.905,0.221,0,"0","PRPSAP1"
0,1.6688805508985,0.919,0.235,0,"0","METTL23"
0,1.648276047959,0.884,0.2,0,"0","NCBP2-AS2"
0,2.34003266477339,0.821,0.137,0,"0","RNF19A"
0,1.34610678745055,0.947,0.263,0,"0","SMARCA4"
0,2.14145419053513,0.831,0.148,0,"0","HEBP2"
0,2.02458460640922,0.815,0.134,0,"0","TMEM54"
0,1.57120334390663,0.956,0.275,0,"0","STAU1"
0,1.06838414661091,0.929,0.249,0,"0","DDR1"
0,1.37561438454362,0.915,0.235,0,"0","USP22"
0,3.57481735209335,0.74,0.061,0,"0","EVA1B"
0,2.23421859838468,0.789,0.11,0,"0","PRRX1"
0,1.63111500489802,0.863,0.184,0,"0","ENAH"
0,2.40464506356133,0.808,0.129,0,"0","PRKCA"
0,1.73626738667779,0.844,0.165,0,"0","GSS"
0,1.48225652229629,0.887,0.209,0,"0","SETD5"
0,1.88028164051119,0.812,0.134,0,"0","PHF23"
0,2.0682191405425,0.83,0.152,0,"0","TAF10"
0,1.53029007324723,0.898,0.221,0,"0","A1BG"
0,2.04328468564656,0.829,0.152,0,"0","TM7SF2"
0,2.5493845913521,0.786,0.11,0,"0","DHCR7"
0,1.83421601521925,0.799,0.123,0,"0","PTRF"
0,1.59402516303224,0.966,0.29,0,"0","SYT11"
0,2.3414216940031,0.805,0.13,0,"0","SPRED1"
0,1.68982532920785,0.799,0.124,0,"0","LARP6"
0,1.31448482488562,0.904,0.229,0,"0","C16orf45"
0,1.81646615568392,0.972,0.297,0,"0","TOP1"
0,1.34905580058521,0.835,0.16,0,"0","CYB5D2"
0,1.15902461144181,0.914,0.24,0,"0","RFXANK"
0,1.27587812521333,0.834,0.16,0,"0","TMEM98"
0,1.50374678381204,0.942,0.268,0,"0","C20orf27"
0,1.53864277493563,0.852,0.178,0,"0","SLC35C2"
0,1.64833799709736,0.862,0.188,0,"0","GIPC1"
0,1.68911555271711,0.831,0.158,0,"0","UBE2M"
0,2.08237755998597,0.911,0.239,0,"0","ECI2"
0,1.72778953513154,0.887,0.215,0,"0","GAMT"
0,1.65925213072602,0.862,0.19,0,"0","CHPF"
0,1.73620759379065,0.85,0.178,0,"0","BCL7C"
0,1.68210108566483,0.953,0.281,0,"0","C19orf24"
0,1.53174355343355,0.916,0.246,0,"0","ADAM9"
