"cluster_factor","enrichment_All-low","enrichment_PERK-high","enrichment_IRE1-high","enrichment_ATF6-high","enrichment_Multi-arm-high","enrichment_Intermediate/Mixed","log2_enrichment_All-low","log2_enrichment_PERK-high","log2_enrichment_IRE1-high","log2_enrichment_ATF6-high","log2_enrichment_Multi-arm-high","log2_enrichment_Intermediate/Mixed"
"0",2.02558139534884,0.947449362340585,0.775754576942108,0.63547651618787,0.734666827328594,1.10128697222849,1.0183360590094,-0.0778792562498987,-0.366327791225921,-0.654089282962091,-0.44483796131371,0.13919045388379
"1",2.34861325115562,0.714324767632586,0.157050126217093,0.43419740777667,0.0764907350487398,1.54076847128517,1.23180916265733,-0.485347950428696,-2.67070299244061,-1.20357698201332,-3.70857117803106,0.623650086755903
"2",0.883725649350649,0.313580069124424,0.661854103343465,2.74474789915966,1.5714748334567,0.773903432732316,-0.178329537208674,-1.67309422895825,-0.595414865136377,1.45667364601208,0.652119168135428,-0.369774536023874
"3",NA,0.780465949820788,2.05910165484634,2.08736383442266,1.00287852619459,0.916100323624595,NA,-0.357592403230323,1.04201505547891,1.06168208893499,0.00414686988847168,-0.12642249605178
"4",0.224948347107438,1.03766495601173,0.631769825918762,NA,1.33337258596326,1.08106244483672,-2.15233432867573,0.0533406977157842,-0.662529060994914,NA,0.415079970834579,0.112449859108023
"5",0.263939393939394,1.21752688172043,0.741276595744681,0.683137254901961,1.80518134715026,0.704692556634304,-1.92172140053431,0.283953625857201,-0.431916132853497,-0.549752623147356,0.852143776443422,-0.50493411930551
"6",NA,2.59798939460893,1.77703293500437,NA,0.865497906167932,0.723999202021545,NA,1.37739554149544,0.829470420098814,NA,-0.208397765491629,-0.465939987689647
"7",NA,1.29677419354839,2.28085106382979,1.31372549019608,1.59689119170984,0.552912621359223,NA,0.374927285904691,1.18957224389277,0.393663848486277,0.675266014359343,-0.854876590362469
"8",0.565584415584416,0.602073732718894,1.05896656534954,1.46386554621849,0.515766099185788,1.32884882108183,-0.822185726983399,-0.731987918011821,0.0826570399762609,0.549783050403559,-0.955211145614182,0.410176983107977
