"","pseudotime","UPR_Rheostat_SD","UPR_Rheostat_Range","UPR_Rheostat_CV","UPR_Balance","Dominant_UPR"
"102_1",9.34396420694772,0.761292438659747,1.52242775849439,-0.504086644278388,0.781863639277113,"IRE1_score"
"102_2",3.69862827351495,0.995565490270653,1.92936333130433,1.24938123550472,0.788956648575185,"PERK_score"
"102_4",8.01376295391834,0.927484651990827,1.85313618207894,-3.57205475238096,0.75785060868913,"PERK_score"
"102_5",8.96826807298692,0.347661048438455,0.694976011559564,-5.1679164523583,0.872929253269832,"IRE1_score"
"102_7",5.79387933325455,0.650536040160371,1.29875714009453,-1.21857160575589,0.789736903239515,"IRE1_score"
"102_8",7.0846726843551,1.41389500661579,2.77284483637606,1.35176515029772,0.675391403796225,"ATF6_score"
"102_10",6.26811471910048,1.78672294968816,3.47488090389822,-8.8524479843384,0.638555743212788,"ATF6_score"
"102_12",38.3472957162579,1.14011240889678,2.19258530873384,0.598910463564198,0.656438615783085,"ATF6_score"
"102_13",6.58865965243203,1.39194349536262,2.42740622143486,-4.11909310466996,0.775778440644999,"IRE1_score"
"102_14",8.79017214003864,1.41545621747859,2.63075476517095,2.83611415942124,0.772200036784055,"ATF6_score"
"102_16",8.84378227136942,1.6536020861489,3.04724703199833,36.8921572216223,0.76411654908414,"ATF6_score"
"102_17",36.5554889801925,0.440627719668803,0.881195082478411,-0.967908157164676,0.843397523978606,"ATF6_score"
"102_18",9.26571453140515,1.14698297536782,2.29364628588832,-1.96539475600963,0.75169101068734,"ATF6_score"
"102_20",6.21465608509269,0.237654622233472,0.427029248993035,-0.197281980264531,0.931503562401954,"IRE1_score"
"102_21",8.90866525984273,1.27333313460961,2.54000675531476,11.4551172436012,0.752919571308106,"ATF6_score"
"102_22",9.47997633926278,0.310038316009554,0.617317337921811,0.601135701304395,0.891183043361181,"IRE1_score"
"102_23",7.07359602444523,0.464981373972424,0.927576067703141,-0.289201714340629,0.82564763159576,"IRE1_score"
"102_24",37.6896583206287,0.784351413656227,1.56328708183938,-0.646457507108162,0.793039016027031,"PERK_score"
"102_26",6.80886549591731,0.81264857716945,1.61591637813994,-31.4687624650295,0.756333166020102,"PERK_score"
"102_27",9.34687076838678,1.02651324728093,1.88936586929644,-1.74914939538457,0.793830082431145,"IRE1_score"
"102_28",8.52954885833694,0.91847720222215,1.69965846112104,-1.20669644918898,0.604363556552514,"PERK_score"
"102_29",8.3639387491554,1.07589844949327,2.09663505526899,-2.71858340916489,0.688084042071063,"PERK_score"
"102_31",11.8283310134696,0.370055047093353,0.675799027687168,-0.327817761869712,0.884342968964921,"IRE1_score"
"102_33",6.72711753429974,0.605190690329406,1.12456962154276,1.87130901245832,0.68028904537005,"IRE1_score"
"102_37",7.87130172255763,1.91230221380595,3.82260979605835,-2.07123847506982,0.720504009391076,"PERK_score"
"102_38",5.39235666506542,1.14653412459558,2.20967299046959,-1.41852004126375,0.660071569497527,"IRE1_score"
"102_40",9.34687088430839,1.71313080101875,3.134228000325,-2.57927221455742,0.762736496529967,"ATF6_score"
"102_41",7.786348944145,0.504392414366975,1.00258618473264,-1.1504600198211,0.838699970608553,"IRE1_score"
"102_42",3.71652401015394,1.85677968600509,3.71295326254446,19.6011117471025,0.719462759210548,"ATF6_score"
"102_45",7.12367423046405,0.516845274999119,0.974346004348726,2.0880973438526,0.849286754630896,"ATF6_score"
"102_46",7.01151381157973,0.583338926129611,1.13134154963091,-2.00145170275144,0.833843236418534,"IRE1_score"
"102_47",5.41781924134942,0.987840950601124,1.84426881791069,-1.18011500082813,0.613174435479968,"PERK_score"
"102_48",7.50353006179307,1.34758056607637,2.66698294287029,-1.54378328367296,0.758458829441984,"IRE1_score"
"102_49",8.42915260363133,0.616682134308195,1.23002871284879,0.748673882932221,0.814600127229463,"ATF6_score"
"102_51",37.6760070940691,0.922400543147726,1.81051112543443,0.35179424248613,0.717582424968259,"PERK_score"
"102_53",2.8758542810113,0.826554773595442,1.6494404551724,7.2858961119063,0.763997411757357,"ATF6_score"
"102_55",12.6940404419839,1.08529027376749,1.99681617350025,1.32206296969181,0.566247043247151,"PERK_score"
"102_56",4.89037496810773,1.02534507014438,2.04740854356457,-0.622755811119897,0.746415458946147,"IRE1_score"
"102_57",38.6495063701812,0.872560476969418,1.56000611342619,-1.32471292071594,0.807002093651899,"PERK_score"
"102_60",6.58865976835365,1.00514458402521,1.7707572240759,-1.20156738964382,0.796863822358214,"IRE1_score"
