"status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"OK",0,101.262715883886,0.28182053369669,"AP006222.2",0
"OK",0,107.340039171807,0.29875469853398,"NOC2L",0
"OK",0,177.417375261407,0.493829365929167,"HES4",0
"OK",0,119.783661047219,0.333395296208376,"ISG15",0
"OK",0,68.0739559946131,0.189400424525656,"AGRN",0
"OK",0,191.801278909308,0.533905505770715,"SDF4",0
"OK",0,125.461306129417,0.349166581922118,"B3GALT6",0
"OK",0,155.392807905061,0.432537358935463,"UBE2J2",0
"OK",0,105.177377607899,0.29272222601413,"ACAP3",0
"OK",0,80.6641573581601,0.22445371057703,"PUSL1",0
"OK",0,79.444625470262,0.221088711007836,"CPSF3L",0
"OK",0,72.3441229392787,0.201177798367862,"MXRA8",0
"OK",0,164.779203414876,0.458672017800422,"AURKAIP1",0
"OK",0,129.479616587975,0.360388628744412,"CCNL2",0
"OK",0,116.896175229845,0.32536282092737,"MRPL20",0
"OK",0,165.996624495106,0.462009284997229,"VWA1",0
"OK",0,96.4139331171021,0.268311510439556,"ATAD3A",0
"OK",0,146.924716663472,0.408966902581684,"SSU72",0
"OK",0,78.6118357350591,0.218756345795063,"RP11-345P4.9",0
"OK",0,89.8506158850712,0.250038743928264,"MIB2",0
"OK",0,54.9918049781657,0.152995930447057,"CDK11B",0
"OK",0,90.7484385802885,0.252536037273806,"SLC35E2B",0
"OK",0,69.5741915389898,0.193599048422273,"CDK11A",0
"OK",0,104.348688760478,0.290400880611658,"NADK",0
"OK",0,149.022299546632,0.414806046468278,"GNB1",0
"OK",0,57.1546402004426,0.158999620707266,"PRKCZ",0
"OK",0,58.8027932531046,0.163601730032855,"SKI",0
"OK",0,156.602911384864,0.435912144918227,"RER1",0
"OK",0,120.780002686726,0.336156317623194,"PEX10",0
"OK",0,85.6189339686632,0.237247123216509,"PLCH2",0
"OK",0,86.0558309092294,0.239421426736637,"TNFRSF14",0
"OK",0,53.9316511966169,0.15002816648513,"FAM213B",0
"OK",0,73.9062489973342,0.205650585041193,"WRAP73",0
"OK",0,53.6458812181431,0.149152999073446,"TP73",0
"OK",0,98.845643999799,0.275095141450484,"LRRC47",0
"OK",0,66.2082694276617,0.184213228815252,"CEP104",0
"OK",0,71.2610686268722,0.198288886272142,"C1orf174",0
"OK",0,41.0582853786633,0.113509099975831,"AJAP1",0
"OK",0,64.8166675543087,0.180283829021618,"KCNAB2",0
"OK",0,124.881928657961,0.347570746131832,"RPL22",0
"OK",0,118.977310050946,0.331114190074268,"ICMT",0
"OK",0,118.641298217979,0.330207370599673,"ACOT7",0
"OK",0,46.9518716935571,0.130602217756427,"NOL9",0
"OK",0,38.3811861074781,0.106739060282891,"ZBTB48",0
"OK",0,43.7666758583526,0.121710542069349,"KLHL21",0
"OK",0,41.8509108530583,0.116387225381088,"PHF13",0
"OK",0,72.2968929163054,0.201168273736683,"THAP3",0
"OK",0,43.3014156213828,0.120441285793133,"DNAJC11",0
"OK",0,148.692099337045,0.41388729323846,"CAMTA1",0
"OK",0,132.417880195551,0.368571730956542,"VAMP3",0
"OK",0,116.7039657285,0.324813734404075,"PARK7",0
"OK",0,119.615371525305,0.332894774708653,"ERRFI1",0
"OK",0,98.8667277903269,0.275150890410853,"RERE",0
"OK",0,131.113329879895,0.364923023663054,"ENO1",0
"OK",0,122.627829522304,0.341140127787145,"SLC2A5",0
"OK",0,38.3888435200707,0.106628107969014,"RP3-510D11.2",0
"OK",0,65.4972667182925,0.182214946583212,"H6PD",0
"OK",0,63.8500090006723,0.177611382344908,"SPSB1",0
"OK",0,128.536903850381,0.357753382744685,"SLC25A33",0
"OK",0,45.6527009325956,0.126949147481807,"TMEM201",0
"OK",0,114.678997017224,0.319183570742336,"CLSTN1",0
"OK",0,127.033785919836,0.353569288241243,"CTNNBIP1",0
"OK",0,71.8061497019663,0.19981248083561,"LZIC",0
"OK",0,48.7389771367263,0.13556526257706,"NMNAT1",0
"OK",0,78.6881773557493,0.21875704885267,"RBP7",0
"OK",0,38.1509757594249,0.106104488177858,"UBE4B",0
"OK",0,149.992694705837,0.417501583011077,"KIF1B",0
"OK",0,105.373971255363,0.293277419878977,"PGD",0
"OK",0,77.6761766318187,0.216115775242474,"APITD1",0
"OK",0,107.326177088406,0.298705057590539,"DFFA",0
"OK",0,46.9550765042076,0.1306100732729,"PEX14",0
"OK",0,95.7323440127574,0.266436502240788,"TARDBP",0
"OK",0,182.425906558398,0.507801784455648,"SRM",0
"OK",0,66.6570842784186,0.185470741806912,"EXOSC10",0
"OK",0,54.5739030461845,0.151802167532261,"MTOR",0
"OK",0,45.8668813863965,0.127584392706752,"UBIAD1",0
"OK",0,64.3817447216252,0.179135929776846,"FBXO44",0
"OK",0,49.4388878706625,0.137500940360148,"FBXO6",0
"OK",0,161.863693290498,0.450556949305,"MAD2L2",0
"OK",0,133.223160480306,0.370783658442323,"DRAXIN",0
"OK",0,114.812367381164,0.319550531220032,"AGTRAP",0
"OK",0,53.2907204964265,0.148088805386685,"NPPA",0
"OK",0,99.4696352778838,0.276812854980008,"KIAA2013",0
"OK",0,120.712247798966,0.335961701789015,"PLOD1",0
"OK",0,51.0417891690114,0.141989285433428,"MFN2",0
"OK",0,78.894967046656,0.219547824378027,"MIIP",0
"OK",0,128.625667623178,0.357895369555233,"TNFRSF1B",0
"OK",0,82.104258356169,0.228453121799939,"DHRS3",0
"OK",0,144.919278629641,0.403381907940066,"PDPN",0
"OK",0,57.5296892143947,0.16005960442274,"PRDM2",0
