"pseudotime_bin","pseudotime_mid","pathway","proportion"
"[0,2.56]",0.0405043091012386,"IRE1",0.152777777777778
"[0,2.56]",0.0405043091012386,"PERK",0.414141414141414
"[0,2.56]",0.0405043091012386,"ATF6",0.433080808080808
"(2.56,5.79]",4.27014307663451,"IRE1",0.237373737373737
"(2.56,5.79]",4.27014307663451,"PERK",0.20959595959596
"(2.56,5.79]",4.27014307663451,"ATF6",0.553030303030303
"(5.79,8.3]",7.08467274231591,"IRE1",0.367424242424242
"(5.79,8.3]",7.08467274231591,"PERK",0.289141414141414
"(5.79,8.3]",7.08467274231591,"ATF6",0.343434343434343
"(8.3,11.3]",9.85925639329424,"IRE1",0.283185840707965
"(8.3,11.3]",9.85925639329424,"PERK",0.209860935524652
"(8.3,11.3]",9.85925639329424,"ATF6",0.506953223767383
"(11.3,15.8]",12.794991939511,"IRE1",0.369949494949495
"(11.3,15.8]",12.794991939511,"PERK",0.195707070707071
"(11.3,15.8]",12.794991939511,"ATF6",0.434343434343434
"(15.8,18.1]",17.0529497102183,"IRE1",0.444444444444444
"(15.8,18.1]",17.0529497102183,"PERK",0.15530303030303
"(15.8,18.1]",17.0529497102183,"ATF6",0.400252525252525
"(18.1,19.1]",18.6022505466896,"IRE1",0.402777777777778
"(18.1,19.1]",18.6022505466896,"PERK",0.107323232323232
"(18.1,19.1]",18.6022505466896,"ATF6",0.48989898989899
"(19.1,19.8]",19.5132465133973,"IRE1",0.390644753476612
"(19.1,19.8]",19.5132465133973,"PERK",0.106194690265487
"(19.1,19.8]",19.5132465133973,"ATF6",0.503160556257901
"(19.8,21.4]",20.3781448346585,"IRE1",0.207070707070707
"(19.8,21.4]",20.3781448346585,"PERK",0.122474747474747
"(19.8,21.4]",20.3781448346585,"ATF6",0.670454545454545
"(21.4,22.8]",22.113932268836,"IRE1",0.194444444444444
"(21.4,22.8]",22.113932268836,"PERK",0.131313131313131
"(21.4,22.8]",22.113932268836,"ATF6",0.674242424242424
"(22.8,24.9]",24.0444503789927,"IRE1",0.181818181818182
"(22.8,24.9]",24.0444503789927,"PERK",0.106060606060606
"(22.8,24.9]",24.0444503789927,"ATF6",0.712121212121212
"(24.9,28.8]",27.4353151406762,"IRE1",0.327433628318584
"(24.9,28.8]",27.4353151406762,"PERK",0.130214917825537
"(24.9,28.8]",27.4353151406762,"ATF6",0.542351453855879
"(28.8,32.8]",30.6671819352623,"IRE1",0.284090909090909
"(28.8,32.8]",30.6671819352623,"PERK",0.160353535353535
"(28.8,32.8]",30.6671819352623,"ATF6",0.555555555555556
"(32.8,38.6]",35.628824082846,"IRE1",0.237373737373737
"(32.8,38.6]",35.628824082846,"PERK",0.116161616161616
"(32.8,38.6]",35.628824082846,"ATF6",0.646464646464647
"(38.6,44.9]",41.9465723091854,"IRE1",0.304292929292929
"(38.6,44.9]",41.9465723091854,"PERK",0.137626262626263
"(38.6,44.9]",41.9465723091854,"ATF6",0.558080808080808
