"cell_id","Dim1","Dim2","UPR_PERK","UPR_IRE1","UPR_ATF6","UPR_State","seurat_clusters","UPR_Reostat"
"SRR1294492",-1.46525669894176,0.784163122728304,0.604484315575782,0.288977108549367,0.894704235300808,"Multi-arm-high","0",0.302951522957432
"SRR1294493",-0.556602336978486,1.33563900525852,-0.249028290561168,-0.137458576299851,-0.38937532606454,"All-low","0",0.126232022038085
"SRR1294494",-1.85453654131847,0.507448320939974,-0.160070319964689,-0.106852226107976,-0.200661047767084,"All-low","0",0.0470458423921827
"SRR1294495",1.21542095341725,-4.13526164953427,-0.0723568051684167,-0.202237345171209,-0.250660209064476,"Intermediate/Mixed","1",0.0922007160673243
"SRR1294496",0.429789177561232,-0.521501178190275,-0.168946145403566,0.415410527502841,0.337519614723843,"IRE1-high","0",0.317292525819426
"SRR1294497",-0.409813859080842,-0.420657271787687,0.54162034688982,-0.0658304676087006,0.49128514420676,"PERK-high","0",0.337122116745197
"SRR1294498",0.129484585905501,-0.177820081159635,-0.0026489496068024,-0.153044494969967,0.596566730328799,"Intermediate/Mixed","0",0.396567615134268
"SRR1294499",0.532012216234633,1.57278603847309,-0.131506368990215,-0.325630048171092,0.210555115091118,"Intermediate/Mixed","0",0.271472709191049
"SRR1294500",1.21640180745167,0.888683205202059,-0.0932175174507234,0.379576166935346,0.862098229374842,"Multi-arm-high","0",0.477666129018499
"SRR1294501",-0.387449570512346,-1.0388120359631,-0.11434903968939,0.0901496808408574,0.146380824772959,"Intermediate/Mixed","0",0.137211351856042
"SRR1294502",-0.156166919087938,-2.06884443227963,0.373747089700255,-0.171101911851832,-0.332365563985636,"PERK-high","0",0.3700138465173
"SRR1294503",0.563242546701857,0.45558274324222,0.721265090958076,0.300567537808273,0.720700309184428,"PERK-high","0",0.24272697137212
"SRR1294504",0.398426643991896,1.24622077281757,-0.111250339568315,0.0743610700215542,0.251418979970722,"Intermediate/Mixed","0",0.181351470070512
"SRR1294505",-0.700281054293683,-0.412012214109464,0.423923631191505,-0.0146940079043285,0.541657407796864,"PERK-high","0",0.293193216506477
"SRR1294506",-0.28307951292949,-0.583063239500089,-0.106666462155519,-0.33666883046836,-0.516324474628766,"Intermediate/Mixed","0",0.205343990696805
"SRR1294507",0.404095760965773,-1.26802288953976,1.30416534238418,0.909128866510568,1.35210612317058,"Multi-arm-high","0",0.243098397653803
"SRR1294508",0.32111536660237,0.930517201974825,0.0329563787687376,-0.0353562870588716,-0.112699193682543,"Intermediate/Mixed","0",0.0728744254449422
"SRR1294509",0.799889794969985,1.55686706836505,-0.044452046043796,0.176530372320462,0.630856662058829,"Intermediate/Mixed","0",0.344307870471758
"SRR1294510",0.137543193483779,-2.39615308706479,-0.0285527478373952,-0.135571329000881,-0.195319670988199,"Intermediate/Mixed","0",0.0844926503131736
"SRR1294511",-0.62149935266929,-0.224583978101774,0.311022004973958,-0.330194976019656,-0.299966703317689,"PERK-high","0",0.361796482119668
"SRR1294512",0.250973097467848,-1.9852973169537,-0.14754391342101,0.089037739637591,-0.212404787386404,"Intermediate/Mixed","0",0.158663905070911
"SRR1294513",-0.868324883794359,-0.31871187154965,-0.0724534113569093,-0.40387110772136,0.237047024736004,"Intermediate/Mixed","0",0.320521518237038
"SRR1294514",0.398740164423415,-4.44801294271664,-0.147328383701022,-0.0251304868968552,-0.253327549948553,"All-low","1",0.114194314521312
"SRR1294515",0.281400791788527,0.0845896058826012,-0.00174822881303899,-0.17267748223335,-0.559544156386178,"Intermediate/Mixed","0",0.285779323389591
"SRR1294516",1.07175575890584,0.999538188531832,-0.22282278613143,-0.0167501734490276,0.411821066323701,"Intermediate/Mixed","0",0.323757123143562
"SRR1294517",0.343274943018386,-0.795959586545988,0.191837747477824,-0.30774158160695,-0.317392119410383,"PERK-high","0",0.291258103251986
"SRR1294518",-3.32310510477977,4.97161138589664,0.3660175225805,0.130969117640388,0.157752216167416,"PERK-high","4",0.128672403728056
"SRR1294519",0.647996417665908,-0.715959901258512,0.804988515758624,0.123915428182641,1.3263769612282,"Multi-arm-high","0",0.602995328912775
"SRR1294520",-0.185711868619493,-0.40045916502194,0.00418959561009757,-0.350114122134931,-0.526308992611787,"Intermediate/Mixed","0",0.270186512399527
"SRR1294521",0.357744685793349,-1.24380719129757,0.248544651221267,-0.288963951699318,0.168986481016168,"PERK-high","0",0.290104463795464
"SRR1294522",-2.04290068945842,0.905175571992831,-0.160165585346473,0.103846962204483,0.112096761232812,"Intermediate/Mixed","0",0.154864171568299
"SRR1294523",0.604342214250991,-4.14452564184384,-0.0369182763494533,-0.133591457549888,0.140600427032491,"Intermediate/Mixed","1",0.139068198847817
"SRR1294524",-0.220599897718004,-2.27675592367367,-0.135292142369747,-0.217099177253851,-0.385511803917868,"All-low","0",0.127583360201386
"SRR1294525",0.488651982927748,-1.09621059362607,0.678909419840091,0.306518875615762,0.876328263718091,"Multi-arm-high","0",0.289347442853561
"SRR1294526",0.727658621454665,-4.03289949361996,-0.0811593531964848,-0.0768290731297862,0.322429624909769,"Intermediate/Mixed","1",0.231772274202699
"SRR1294527",-0.310800888156465,0.00552475984378287,-0.00406557897469062,0.0415850814132985,0.0194777823286224,"Intermediate/Mixed","0",0.0228290944780894
"SRR1294528",0.118485621595809,0.954707747056918,-0.208576848072635,-0.122366800502231,-0.302851322906241,"All-low","0",0.0902722841691059
"SRR1294529",-0.271096595143846,-0.157924765989347,-0.1973285565367,0.0235562204523284,0.372448028787608,"Intermediate/Mixed","0",0.287274820747423
