"seurat_clusters","Ratio","Value"
"0","PERK/IRE1",2.08804177200319
"0","PERK/ATF6",0.675986884635462
"0","IRE1/ATF6",0.323742031265469
"0","PERK/IRE1",1.81760866401065
"0","PERK/ATF6",0.638630401870461
"0","IRE1/ATF6",0.351357481131988
"0","PERK/IRE1",1.50275838131574
"0","PERK/ATF6",0.796701819126248
"0","IRE1/ATF6",0.530159624482478
"1","PERK/IRE1",0.354590273031616
"1","PERK/ATF6",0.285815690997793
"1","IRE1/ATF6",0.806044927725102
"0","IRE1/ATF6",1.23009276092477
"0","PERK/ATF6",1.10224806349614
"0","PERK/IRE1",0.0108451779666742
"0","PERK/IRE1",0.402015678232698
"0","IRE1/ATF6",0.440941892802867
"0","IRE1/ATF6",0.618463636509527
"0","IRE1/ATF6",0.513336116782509
"0","PERK/IRE1",2.39503593857397
"0","PERK/ATF6",1.00078257105679
"0","IRE1/ATF6",0.417857016230276
"0","IRE1/ATF6",0.298555481169821
"0","PERK/ATF6",0.783042164515274
"0","PERK/IRE1",0.314793786507022
"0","PERK/ATF6",0.205048406116631
"0","IRE1/ATF6",0.651373740224879
"0","PERK/IRE1",1.43404455172175
"0","PERK/ATF6",0.964569829398104
"0","IRE1/ATF6",0.672621940678213
"0","IRE1/ATF6",0.307578648745798
"0","IRE1/ATF6",0.280966211137192
"0","PERK/IRE1",0.204744562173528
"0","PERK/ATF6",0.141790832072109
"0","IRE1/ATF6",0.692525508696715
"0","IRE1/ATF6",1.1011091615438
"0","PERK/ATF6",0.693191082532859
"0","PERK/IRE1",0.177360475813344
"1","PERK/IRE1",6.06404604791013
"1","PERK/ATF6",0.579914415730097
"1","IRE1/ATF6",0.0956315983006024
"0","PERK/IRE1",0.00435833985508925
"0","PERK/ATF6",0.00133960548057665
"0","IRE1/ATF6",0.30736599831984
"0","PERK/IRE1",14.0838313209258
"0","IRE1/ATF6",0.969498172642806
"4","PERK/IRE1",2.78108643251379
"4","PERK/ATF6",2.31188912785603
"4","IRE1/ATF6",0.831289923544859
"0","PERK/IRE1",6.45227357008436
"0","PERK/ATF6",0.607203936260016
"0","IRE1/ATF6",0.0941069732497527
"0","IRE1/ATF6",0.664588132023342
"0","PERK/ATF6",1.46802645557167
"0","IRE1/ATF6",0.927055390990844
"1","PERK/IRE1",0.27089434729186
"0","PERK/IRE1",0.621437545835701
"0","PERK/ATF6",0.349253627590668
"0","IRE1/ATF6",0.562009215457035
"0","PERK/IRE1",2.21095182687134
"0","PERK/ATF6",0.774977221135741
"0","IRE1/ATF6",0.350517461175258
"1","PERK/IRE1",1.05710580240493
"0","IRE1/ATF6",2.07957486459733
"0","PERK/IRE1",1.7103264419401
"0","PERK/ATF6",0.687679106634596
"0","IRE1/ATF6",0.402074767583276
"0","IRE1/ATF6",0.0657553891288427
"0","PERK/IRE1",0.545656475114005
"0","IRE1/ATF6",0.6379520768127
"0","PERK/IRE1",0.418744238510421
"0","PERK/ATF6",0.332981235959578
"0","IRE1/ATF6",0.795190011793538
"0","PERK/ATF6",3.11780310055955
"0","PERK/IRE1",5.40608323836157
"0","PERK/ATF6",1.54673886675244
"0","IRE1/ATF6",0.286110812311726
"0","IRE1/ATF6",1.057388904801
"0","PERK/ATF6",0.632142240514496
"0","PERK/IRE1",0.961473609057201
"0","PERK/ATF6",7.22253133590709
"0","IRE1/ATF6",7.51193924395838
"1","PERK/ATF6",0.457317581552457
"0","PERK/IRE1",0.300309371552049
"0","PERK/ATF6",0.183509870581422
"0","IRE1/ATF6",0.611069410298493
"0","PERK/IRE1",0.975074483512448
"0","PERK/ATF6",0.887309559543515
"0","IRE1/ATF6",0.909991569410386
"0","PERK/ATF6",0.111003241324062
"0","PERK/IRE1",0.192774715729789
"0","PERK/ATF6",0.0793325319714081
"0","IRE1/ATF6",0.411529757266549
"0","PERK/IRE1",1.61298918495373
"0","PERK/ATF6",0.734422770793876
"0","IRE1/ATF6",0.455317851876944
"0","PERK/IRE1",2.04939679534798
"0","IRE1/ATF6",1.41551115973585
"0","PERK/IRE1",0.497060819989825
"0","PERK/ATF6",0.27487516247794
"0","IRE1/ATF6",0.553001064303493
"0","IRE1/ATF6",0.802688115498531
"0","PERK/IRE1",0.340726542165884
"0","PERK/ATF6",0.124885841336131
"0","IRE1/ATF6",0.366528068351452
"0","PERK/ATF6",0.624006372693883
"1","PERK/IRE1",0.251618795962106
"1","PERK/ATF6",0.100541365477818
"1","IRE1/ATF6",0.399578120121678
"0","PERK/IRE1",16.3683568126927
"0","IRE1/ATF6",0.659247363796165
"0","PERK/ATF6",4.3977640806065
"0","PERK/IRE1",0.680225023719433
"0","PERK/ATF6",0.323397292706961
"0","IRE1/ATF6",0.475426927016949
"0","PERK/IRE1",3.03803914673643
"0","PERK/IRE1",2.61440579815034
"0","PERK/ATF6",0.998387831511847
"0","IRE1/ATF6",0.381879443588365
"0","PERK/ATF6",0.360085919070091
"1","PERK/IRE1",0.769652590731326
"1","PERK/ATF6",0.305132087083893
"1","IRE1/ATF6",0.396454310371327
"0","PERK/IRE1",0.0541821191764154
"0","IRE1/ATF6",5.46298868306953
"0","PERK/IRE1",0.169345690653952
"0","IRE1/ATF6",0.662936986597784
"0","PERK/IRE1",0.398566840407359
"0","PERK/ATF6",0.28684871964811
"0","IRE1/ATF6",0.71970041299706
"8","PERK/IRE1",0.360393954411782
"8","PERK/ATF6",0.160826593747854
"8","IRE1/ATF6",0.446252196461917
"0","PERK/IRE1",1.01211341315406
"0","PERK/IRE1",0.385754230245009
"0","PERK/ATF6",0.0651315080078713
"0","IRE1/ATF6",0.168841979947967
"0","PERK/IRE1",0.584108200605025
"0","PERK/ATF6",0.445699436764022
"0","IRE1/ATF6",0.76304259433845
"0","PERK/IRE1",1.20907440427467
"0","IRE1/ATF6",0.656035668879732
"0","IRE1/ATF6",0.792840205710392
"0","PERK/ATF6",0.953479269597616
"0","PERK/IRE1",0.382462582220046
