"","UPR_Balance","UPR_Rheostat_SD","pseudotime"
"102_1",0.781863639277113,0.761292438659747,9.34396420694772
"102_2",0.788956648575185,0.995565490270653,3.69862827351495
"102_4",0.75785060868913,0.927484651990827,8.01376295391834
"102_5",0.872929253269832,0.347661048438455,8.96826807298692
"102_7",0.789736903239515,0.650536040160371,5.79387933325455
"102_8",0.675391403796225,1.41389500661579,7.0846726843551
"102_10",0.638555743212788,1.78672294968816,6.26811471910048
"102_12",0.656438615783085,1.14011240889678,38.3472957162579
"102_13",0.775778440644999,1.39194349536262,6.58865965243203
"102_14",0.772200036784055,1.41545621747859,8.79017214003864
"102_16",0.76411654908414,1.6536020861489,8.84378227136942
"102_17",0.843397523978606,0.440627719668803,36.5554889801925
"102_18",0.75169101068734,1.14698297536782,9.26571453140515
"102_20",0.931503562401954,0.237654622233472,6.21465608509269
"102_21",0.752919571308106,1.27333313460961,8.90866525984273
"102_22",0.891183043361181,0.310038316009554,9.47997633926278
"102_23",0.82564763159576,0.464981373972424,7.07359602444523
"102_24",0.793039016027031,0.784351413656227,37.6896583206287
"102_26",0.756333166020102,0.81264857716945,6.80886549591731
"102_27",0.793830082431145,1.02651324728093,9.34687076838678
"102_28",0.604363556552514,0.91847720222215,8.52954885833694
"102_29",0.688084042071063,1.07589844949327,8.3639387491554
"102_31",0.884342968964921,0.370055047093353,11.8283310134696
"102_33",0.68028904537005,0.605190690329406,6.72711753429974
"102_37",0.720504009391076,1.91230221380595,7.87130172255763
"102_38",0.660071569497527,1.14653412459558,5.39235666506542
"102_40",0.762736496529967,1.71313080101875,9.34687088430839
"102_41",0.838699970608553,0.504392414366975,7.786348944145
"102_42",0.719462759210548,1.85677968600509,3.71652401015394
"102_45",0.849286754630896,0.516845274999119,7.12367423046405
"102_46",0.833843236418534,0.583338926129611,7.01151381157973
"102_47",0.613174435479968,0.987840950601124,5.41781924134942
"102_48",0.758458829441984,1.34758056607637,7.50353006179307
"102_49",0.814600127229463,0.616682134308195,8.42915260363133
"102_51",0.717582424968259,0.922400543147726,37.6760070940691
"102_53",0.763997411757357,0.826554773595442,2.8758542810113
"102_55",0.566247043247151,1.08529027376749,12.6940404419839
"102_56",0.746415458946147,1.02534507014438,4.89037496810773
"102_57",0.807002093651899,0.872560476969418,38.6495063701812
"102_60",0.796863822358214,1.00514458402521,6.58865976835365
"102_61",0.87263497913752,0.34918565161243,8.03912417037799
"102_66",0.730232365976948,0.932261633869158,6.58865988427526
