"seurat_clusters","IRE1_mean","PERK_mean","ATF6_mean","Reostat_SD","Reostat_Range","Reostat_CV"
"0",0.0592198536535552,0.0167823006147686,0.272033114795795,0.258145317566704,0.493855363575744,1.03784307906211
"1",-0.0142774330165267,-0.0498403994398736,0.0816931797416542,0.147112542346508,0.279339943813388,0.999780094649628
"2",0.234054853717255,-0.100348659664358,0.708426662491551,0.44173772801032,0.860730422056675,1.07372106414457
"3",0.248660246253145,-0.00759272177490967,0.619608900218592,0.351227255621475,0.68145586389942,1.06085266875419
"4",0.261419207108386,0.0762383170050708,0.443887749566004,0.270378809894056,0.523001899768624,1.01171953932195
"5",0.238294931256815,0.075702926583492,0.679110995769128,0.339815568975997,0.65441916119505,1.12151925726779
"6",0.217744386658485,0.075730730585249,0.423333090936093,0.240610409211595,0.465829884474715,1.01737387390983
"7",0.319741421378674,0.0479271842599727,0.664671530839089,0.345340176763185,0.675253914106801,1.01684029148136
"8",0.109966959041961,-0.134277161094236,0.488692695262307,0.334614369575308,0.652664870174662,1.04946941099572
